BIBTEXKEY,author_first,pub_year,author_year,study,summarized_in,fig_table,age,age_units,age_mos,age_grp_rog,binoc_monoc,eye,n_participants,distance_cm,start_card_cyc_deg,acuity,acuity_units,acuity_type,lower_limit_cyc_deg,closest_card_cyc_deg,upper_limit_cyc_deg,sd,sd_units,country,card_type
Salomao1995-pg,Salomao,1995,Salomao1995,NA,NA,table_01,0.5,mos,0.5,0.5,binoc,OU,17,38,0.3,0.66,cyc_deg,mean,0.27,0.22,NA,0.27,10_pct_90_tol_int,brazil,tac_i
Salomao1995-pg,Salomao,1995,Salomao1995,NA,NA,table_01,2,mos,2,2,binoc,OU,9,38,0.3,2.02,cyc_deg,mean,0.23,0.22,NA,0.23,10_pct_90_tol_int,brazil,tac_i
Salomao1995-pg,Salomao,1995,Salomao1995,NA,NA,table_01,3,mos,3,3,binoc,OU,21,38,0.44,3.89,cyc_deg,mean,1.59,1.1,NA,1.59,5_pct_90_tol_int,brazil,tac_i
Salomao1995-pg,Salomao,1995,Salomao1995,NA,NA,table_01,4,mos,4,4,binoc,OU,25,38,0.44,5.48,cyc_deg,mean,2.14,1.7,NA,2.14,5_pct_90_tol_int,brazil,tac_i
Salomao1995-pg,Salomao,1995,Salomao1995,NA,NA,table_01,6,mos,6,6,binoc,OU,30,38,0.44,7.44,cyc_deg,mean,3.38,3.1,NA,3.38,5_pct_90_tol_int,brazil,tac_i
Salomao1995-pg,Salomao,1995,Salomao1995,NA,NA,table_01,8,mos,8,8,binoc,OU,34,55,1.3,9.81,cyc_deg,mean,5.1,3.1,NA,5.1,5_pct_90_tol_int,brazil,tac_i
Salomao1995-pg,Salomao,1995,Salomao1995,NA,NA,table_01,10,mos,10,10,binoc,OU,35,55,1.3,11.59,cyc_deg,mean,6.05,4.7,NA,6.06,5_pct_90_tol_int,brazil,tac_i
Salomao1995-pg,Salomao,1995,Salomao1995,NA,NA,table_01,12,mos,12,12,binoc,OU,40,55,1.3,11.08,cyc_deg,mean,4.13,3.1,NA,4.13,5_pct_90_tol_int,brazil,tac_i
Salomao1995-pg,Salomao,1995,Salomao1995,NA,NA,table_01,14,mos,14,14,binoc,OU,34,55,1.3,13.04,cyc_deg,mean,5.63,4.7,NA,5.63,5_pct_90_tol_int,brazil,tac_i
Salomao1995-pg,Salomao,1995,Salomao1995,NA,NA,table_01,16,mos,16,16,binoc,OU,41,55,1.3,13.08,cyc_deg,mean,5.91,4.7,NA,5.91,5_pct_90_tol_int,brazil,tac_i
Salomao1995-pg,Salomao,1995,Salomao1995,NA,NA,table_01,18,mos,18,18,binoc,OU,35,55,1.3,12.39,cyc_deg,mean,5.1,4.7,NA,5.1,5_pct_90_tol_int,brazil,tac_i
Salomao1995-pg,Salomao,1995,Salomao1995,NA,NA,table_01,20,mos,20,20,binoc,OU,37,55,2.4,13.81,cyc_deg,mean,6.6,4.7,NA,6.6,5_pct_90_tol_int,brazil,tac_i
Salomao1995-pg,Salomao,1995,Salomao1995,NA,NA,table_01,22,mos,22,22,binoc,OU,36,55,2.4,14.76,cyc_deg,mean,7.68,6.4,NA,7.68,5_pct_90_tol_int,brazil,tac_i
Salomao1995-pg,Salomao,1995,Salomao1995,NA,NA,table_01,24,mos,24,24,binoc,OU,44,55,2.4,14.64,cyc_deg,mean,6.2,4.7,NA,6.2,5_pct_90_tol_int,brazil,tac_i
Salomao1995-pg,Salomao,1995,Salomao1995,NA,NA,table_01,26,mos,26,26,binoc,OU,37,55,2.4,16.66,cyc_deg,mean,8.92,6.4,NA,8.92,5_pct_90_tol_int,brazil,tac_i
Salomao1995-pg,Salomao,1995,Salomao1995,NA,NA,table_01,28,mos,28,28,binoc,OU,42,55,2.4,15.28,cyc_deg,mean,7.25,6.4,NA,7.25,5_pct_90_tol_int,brazil,tac_i
Salomao1995-pg,Salomao,1995,Salomao1995,NA,NA,table_01,30,mos,30,30,binoc,OU,35,55,2.4,17.24,cyc_deg,mean,8.61,6.4,NA,8.61,5_pct_90_tol_int,brazil,tac_i
Salomao1995-pg,Salomao,1995,Salomao1995,NA,NA,table_01,32,mos,32,32,binoc,OU,25,55,2.4,17.36,cyc_deg,mean,9.96,6.4,NA,9.96,5_pct_90_tol_int,brazil,tac_i
Salomao1995-pg,Salomao,1995,Salomao1995,NA,NA,table_01,34,mos,34,34,binoc,OU,37,55,2.4,19.19,cyc_deg,mean,9.5,6.4,NA,9.5,5_pct_90_tol_int,brazil,tac_i
Salomao1995-pg,Salomao,1995,Salomao1995,NA,NA,table_01,36,mos,36,36,binoc,OU,32,55,2.4,17.82,cyc_deg,mean,7.12,6.4,NA,7.12,5_pct_90_tol_int,brazil,tac_i
Salomao1995-pg,Salomao,1995,Salomao1995,NA,NA,table_02,2,mos,2,2,monoc,NA,8,38,0.44,2.31,cyc_deg,mean,0.42,0.6,NA,0.42,10_pct_90_tol_int,brazil,tac_i
Salomao1995-pg,Salomao,1995,Salomao1995,NA,NA,table_02,3,mos,3,3,monoc,NA,21,38,0.44,3.09,cyc_deg,mean,1.18,1.1,NA,1.18,10_pct_90_tol_int,brazil,tac_i
Salomao1995-pg,Salomao,1995,Salomao1995,NA,NA,table_02,4,mos,4,4,monoc,NA,25,38,0.44,4.15,cyc_deg,mean,1.57,2.2,NA,1.57,5_pct_90_tol_int,brazil,tac_i
Salomao1995-pg,Salomao,1995,Salomao1995,NA,NA,table_02,6,mos,6,6,monoc,NA,30,38,0.44,7.18,cyc_deg,mean,2.78,2.2,NA,2.78,5_pct_90_tol_int,brazil,tac_i
Salomao1995-pg,Salomao,1995,Salomao1995,NA,NA,table_02,8,mos,8,8,monoc,NA,34,55,1.3,8.31,cyc_deg,mean,4.31,3.2,NA,4.31,5_pct_90_tol_int,brazil,tac_i
Salomao1995-pg,Salomao,1995,Salomao1995,NA,NA,table_02,10,mos,10,10,monoc,NA,35,55,1.3,10.88,cyc_deg,mean,4.26,3.2,NA,4.26,5_pct_90_tol_int,brazil,tac_i
Salomao1995-pg,Salomao,1995,Salomao1995,NA,NA,table_02,12,mos,12,12,monoc,NA,40,55,1.3,9.82,cyc_deg,mean,4,3.2,NA,4,5_pct_90_tol_int,brazil,tac_i
Salomao1995-pg,Salomao,1995,Salomao1995,NA,NA,table_02,14,mos,14,14,monoc,NA,34,55,1.3,10.35,cyc_deg,mean,4.82,3.2,NA,4.82,5_pct_90_tol_int,brazil,tac_i
Salomao1995-pg,Salomao,1995,Salomao1995,NA,NA,table_02,16,mos,16,16,monoc,NA,41,55,1.3,10.07,cyc_deg,mean,4.7,3.2,NA,4.7,5_pct_90_tol_int,brazil,tac_i
Salomao1995-pg,Salomao,1995,Salomao1995,NA,NA,table_02,18,mos,18,18,monoc,NA,35,55,1.3,9.95,cyc_deg,mean,5.21,4.7,NA,5.21,5_pct_90_tol_int,brazil,tac_i
Salomao1995-pg,Salomao,1995,Salomao1995,NA,NA,table_02,20,mos,20,20,monoc,NA,37,55,2.4,11.12,cyc_deg,mean,3.91,3.2,NA,3.91,5_pct_90_tol_int,brazil,tac_i
Salomao1995-pg,Salomao,1995,Salomao1995,NA,NA,table_02,22,mos,22,22,monoc,NA,35,55,2.4,12.09,cyc_deg,mean,4.3,4.7,NA,4.3,5_pct_90_tol_int,brazil,tac_i
Salomao1995-pg,Salomao,1995,Salomao1995,NA,NA,table_02,24,mos,24,24,monoc,NA,43,55,2.4,12.31,cyc_deg,mean,4.03,3.2,NA,4.03,5_pct_90_tol_int,brazil,tac_i
Salomao1995-pg,Salomao,1995,Salomao1995,NA,NA,table_02,26,mos,26,26,monoc,NA,37,55,2.4,13,cyc_deg,mean,6.62,4.7,NA,6.62,5_pct_90_tol_int,brazil,tac_i
Salomao1995-pg,Salomao,1995,Salomao1995,NA,NA,table_02,28,mos,28,28,monoc,NA,42,55,2.4,12.79,cyc_deg,mean,5.61,4.7,NA,5.61,5_pct_90_tol_int,brazil,tac_i
Salomao1995-pg,Salomao,1995,Salomao1995,NA,NA,table_02,30,mos,30,30,monoc,NA,34,55,2.4,14.12,cyc_deg,mean,7.09,4.7,NA,7.09,5_pct_90_tol_int,brazil,tac_i
Salomao1995-pg,Salomao,1995,Salomao1995,NA,NA,table_02,32,mos,32,32,monoc,NA,24,55,2.4,15.22,cyc_deg,mean,7.99,6.4,NA,7.99,5_pct_90_tol_int,brazil,tac_i
Salomao1995-pg,Salomao,1995,Salomao1995,NA,NA,table_02,34,mos,34,34,monoc,NA,37,55,2.4,14.97,cyc_deg,mean,7.46,6.4,NA,7.46,5_pct_90_tol_int,brazil,tac_i
Salomao1995-pg,Salomao,1995,Salomao1995,NA,NA,table_02,36,mos,36,36,monoc,NA,32,55,2.4,14.98,cyc_deg,mean,5.86,6.4,NA,5.86,5_pct_90_tol_int,brazil,tac_i
Xiang2021-ry,Xiang,2021,Xiang2021,NA,NA,table_01,NA,mos,2–3,2.5,binoc,OU,8,38,NA,1.18,cyc_deg,mean,0.41,NA,3.42,0.41,10_pct_90_tol_int,china,tac_ii
Xiang2021-ry,Xiang,2021,Xiang2021,NA,NA,table_01,NA,mos,4–6,5,binoc,OU,14,38,NA,2.32,cyc_deg,mean,0.86,NA,6.26,0.86,10_pct_90_tol_int,china,tac_ii
Xiang2021-ry,Xiang,2021,Xiang2021,NA,NA,table_01,NA,mos,7–9,8,binoc,OU,25,55,NA,4.37,cyc_deg,mean,2.18,NA,8.74,2.18,5_pct_90_tol_int,china,tac_ii
Xiang2021-ry,Xiang,2021,Xiang2021,NA,NA,table_01,NA,mos,10–12,11,binoc,OU,19,55,NA,3.73,cyc_deg,mean,1.44,NA,9.66,1.44,5_pct_90_tol_int,china,tac_ii
Xiang2021-ry,Xiang,2021,Xiang2021,NA,NA,table_01,NA,mos,13–15,14,binoc,OU,19,55,NA,4.62,cyc_deg,mean,1.67,NA,12.78,1.67,5_pct_90_tol_int,china,tac_ii
Xiang2021-ry,Xiang,2021,Xiang2021,NA,NA,table_01,NA,mos,16–18,17,binoc,OU,15,55,NA,4.37,cyc_deg,mean,1.28,NA,14.92,1.28,5_pct_90_tol_int,china,tac_ii
Xiang2021-ry,Xiang,2021,Xiang2021,NA,NA,table_01,NA,mos,19–21,20,binoc,OU,13,55,NA,5.82,cyc_deg,mean,1.34,NA,25.18,1.34,5_pct_90_tol_int,china,tac_ii
Xiang2021-ry,Xiang,2021,Xiang2021,NA,NA,table_01,NA,mos,22–24,23,binoc,OU,12,55,NA,7.35,cyc_deg,mean,1.58,NA,34.22,1.58,5_pct_90_tol_int,china,tac_ii
Xiang2021-ry,Xiang,2021,Xiang2021,NA,NA,table_01,NA,mos,25–27,26,binoc,OU,19,55,NA,6.93,cyc_deg,mean,3.21,NA,20.8,3.21,5_pct_90_tol_int,china,tac_ii
Xiang2021-ry,Xiang,2021,Xiang2021,NA,NA,table_01,NA,mos,28–30,29,binoc,OU,12,55,NA,10.68,cyc_deg,mean,3.64,NA,31.37,3.64,10_pct_90_tol_int,china,tac_ii
Xiang2021-ry,Xiang,2021,Xiang2021,NA,NA,table_01,NA,mos,31–33,32,binoc,OU,24,55,NA,10.02,cyc_deg,mean,2.65,NA,37.88,2.65,5_pct_90_tol_int,china,tac_ii
